Subject,Grade,UnitID,UnitTitle,SkillID,SkillDescription,SubskillID,SubskillDescription,DifficultyStart,DifficultyEnd,TargetDifficulty
ABC123,Kindergarten,ALPHA001,Alphabet Recognition,ALPHA001-01,Recognize and pronounce uppercase letters,ALPHA001-01-A,Recognize and pronounce letter A,1,5,3
ABC123,Kindergarten,ALPHA001,Alphabet Recognition,ALPHA001-01,Recognize and pronounce uppercase letters,ALPHA001-01-B,Recognize and pronounce letter B,1,5,3
ABC123,Kindergarten,ALPHA001,Alphabet Recognition,ALPHA001-01,Recognize and pronounce uppercase letters,ALPHA001-01-C,Recognize and pronounce letter C,1,5,3
ABC123,Kindergarten,ALPHA001,Alphabet Recognition,ALPHA001-01,Recognize and pronounce uppercase letters,ALPHA001-01-D,Recognize and pronounce letter D,1,5,3
ABC123,Kindergarten,ALPHA001,Alphabet Recognition,ALPHA001-01,Recognize and pronounce uppercase letters,ALPHA001-01-E,Recognize and pronounce letter E,1,5,3
ABC123,Kindergarten,ALPHA001,Alphabet Recognition,ALPHA001-01,Recognize and pronounce uppercase letters,ALPHA001-01-F,Recognize and pronounce letter F,1,5,3
ABC123,Kindergarten,ALPHA001,Alphabet Recognition,ALPHA001-01,Recognize and pronounce uppercase letters,ALPHA001-01-G,Recognize and pronounce letter G,1,5,3
ABC123,Kindergarten,ALPHA001,Alphabet Recognition,ALPHA001-01,Recognize and pronounce uppercase letters,ALPHA001-01-H,Recognize and pronounce letter H,1,5,3
ABC123,Kindergarten,ALPHA001,Alphabet Recognition,ALPHA001-01,Recognize and pronounce uppercase letters,ALPHA001-01-I,Recognize and pronounce letter I,1,5,3
ABC123,Kindergarten,ALPHA001,Alphabet Recognition,ALPHA001-01,Recognize and pronounce uppercase letters,ALPHA001-01-J,Recognize and pronounce letter J,1,5,3
ABC123,Kindergarten,ALPHA001,Alphabet Recognition,ALPHA001-01,Recognize and pronounce uppercase letters,ALPHA001-01-K,Recognize and pronounce letter K,1,5,3
ABC123,Kindergarten,ALPHA001,Alphabet Recognition,ALPHA001-01,Recognize and pronounce uppercase letters,ALPHA001-01-L,Recognize and pronounce letter L,1,5,3
ABC123,Kindergarten,ALPHA001,Alphabet Recognition,ALPHA001-01,Recognize and pronounce uppercase letters,ALPHA001-01-M,Recognize and pronounce letter M,1,5,3
