Subject,Grade,UnitID,UnitTitle,SkillID,SkillDescription,SubskillID,SubskillDescription,DifficultyStart,DifficultyEnd,TargetDifficulty
Arts,Kindergarten,ART001,Visual Arts,ART001-01,Creating,ART001-01-A,Explore a variety of art materials and tools,1,5,3
Arts,Kindergarten,ART001,Visual Arts,ART001-01,Creating,ART001-01-B,Create art that represents natural and constructed environments,2,6,4
Arts,Kindergarten,ART001,Visual Arts,ART001-01,Creating,ART001-01-C,Use basic shapes and lines to represent ideas,3,7,5
Arts,Kindergarten,ART001,Visual Arts,ART001-02,Presenting,ART001-02-A,Select art objects for personal portfolio and display,2,6,4
Arts,Kindergarten,ART001,Visual Arts,ART001-02,Presenting,ART001-02-B,Explain the process of making art,3,7,5
Arts,Kindergarten,ART001,Visual Arts,ART001-02,Presenting,ART001-02-C,Identify places where art may be displayed or saved,3,7,5
Arts,Kindergarten,ART001,Visual Arts,ART001-03,Responding,ART001-03-A,Identify uses of art within one's personal environment,2,6,4
Arts,Kindergarten,ART001,Visual Arts,ART001-03,Responding,ART001-03-B,Describe what an image represents,3,7,5
Arts,Kindergarten,ART001,Visual Arts,ART001-03,Responding,ART001-03-C,Explain reasons for selecting a preferred artwork,4,8,6
Arts,Kindergarten,ART002,Music,ART002-01,Creating,ART002-01-A,Explore and experience a variety of music concepts,2,6,4
Arts,Kindergarten,ART002,Music,ART002-01,Creating,ART002-01-B,Create simple rhythmic patterns,3,7,5
Arts,Kindergarten,ART002,Music,ART002-01,Creating,ART002-01-C,Improvise simple musical ideas,4,8,6
Arts,Kindergarten,ART002,Music,ART002-02,Performing,ART002-02-A,Sing a variety of simple songs,2,6,4
Arts,Kindergarten,ART002,Music,ART002-02,Performing,ART002-02-B,Play simple rhythmic instruments,3,7,5
Arts,Kindergarten,ART002,Music,ART002-02,Performing,ART002-02-C,Perform appropriate musical works with expression,4,8,6
Arts,Kindergarten,ART002,Music,ART002-03,Responding,ART002-03-A,"Identify simple musical contrasts (fast/slow, loud/soft)",2,6,4
Arts,Kindergarten,ART002,Music,ART002-03,Responding,ART002-03-B,Demonstrate awareness of steady beat,3,7,5
Arts,Kindergarten,ART002,Music,ART002-03,Responding,ART002-03-C,Express preferences for varied musical selections,4,8,6
Arts,Kindergarten,ART003,Drama,ART003-01,Creating,ART003-01-A,Use imagination to transform objects and experiences into dramatic play,2,6,4
Arts,Kindergarten,ART003,Drama,ART003-01,Creating,ART003-01-B,Create roles and situations for dramatic play and guided drama experiences,3,7,5
Arts,Kindergarten,ART003,Drama,ART003-01,Creating,ART003-01-C,Collaborate with peers to create plots in guided drama experiences,4,8,6
Arts,Kindergarten,ART003,Drama,ART003-02,Performing,ART003-02-A,Engage in dramatic play or a guided drama experience,2,6,4
Arts,Kindergarten,ART003,Drama,ART003-02,Performing,ART003-02-B,Use body and voice to communicate character traits and emotions,3,7,5
Arts,Kindergarten,ART003,Drama,ART003-02,Performing,ART003-02-C,Demonstrate the ability to follow simple performance directions,4,8,6
Arts,Kindergarten,ART003,Drama,ART003-03,Responding,ART003-03-A,Express preferences for parts of a drama/theatre work,2,6,4
Arts,Kindergarten,ART003,Drama,ART003-03,Responding,ART003-03-B,Identify characters and settings in a guided drama experience,3,7,5
Arts,Kindergarten,ART003,Drama,ART003-03,Responding,ART003-03-C,Explain how personal preferences connect to emotions evoked by a drama/theatre work,4,8,6
Arts,Kindergarten,ART001,Visual Arts,ART001-01,Creating,Creating-E,Mix two primary colors to create a secondary color and use it in an artwork,2,3,3
Arts,Kindergarten,ART001,Visual Arts,ART001-01,Creating,Creating-F,Create a simple pattern using two alternating shapes or colors,1,2,2
Arts,Kindergarten,ART001,Visual Arts,ART001-01,Creating,Creating-G,Build a 3D structure using clay or playdough that can stand on its own,2,4,3
Arts,Kindergarten,ART001,Visual Arts,ART001-01,Creating,Creating-H,Cut and paste paper shapes to form a recognizable object or animal,2,3,3
Arts,Kindergarten,ART001,Visual Arts,ART001-01,Creating,Creating-I,Draw a self-portrait including at least three facial features,3,4,4
Arts,Kindergarten,ART001,Visual Arts,ART001-01,Creating,Creating-J,"Create texture in artwork using simple tools (combs, sponges, etc.)",2,3,3
Arts,Kindergarten,ART001,Visual Arts,ART001-01,Creating,Creating-K,"Combine two different art materials in one artwork (e.g., crayon and watercolor)",3,4,4
Arts,Kindergarten,ART001,Visual Arts,ART001-01,Creating,Creating-L,Paint within defined lines or boundaries with 80% accuracy,2,4,3
Arts,Kindergarten,ART001,Visual Arts,ART001-01,Creating,Creating-M,Create a simple collage using torn paper pieces,2,3,3
Arts,Kindergarten,ART001,Visual Arts,ART001-01,Creating,Creating-N,Draw and color a scene that shows foreground and background,3,5,4
Arts,Kindergarten,ART001,Visual Arts,ART001-01,Creating,Creating-O,Use stamps or found objects to create prints in a deliberate arrangement,2,3,3
Arts,Kindergarten,ART001,Visual Arts,ART001-01,Creating,Creating-P,Create an artwork that expresses a specific emotion through color choice,3,4,4
Arts,Kindergarten,ART001,Visual Arts,ART001-02,Presenting,Presenting-E,Take turns sharing artwork with a partner using complete sentences,2,3,4
Arts,Kindergarten,ART001,Visual Arts,ART001-02,Presenting,Presenting-F,"Follow 3-step process to prepare artwork for display (clean hands, flat surface, careful handling)",2,4,5
