Subject,SubskillID,SubskillDescription,ConceptGroup,DetailedObjective
Language Arts,LA001-01-A,"Demonstrate proper book handling skills (orientation, covers, page turning),Book Orientation,Correctly identify the front cover",back cover,and spine of a book
Language Arts,LA001-01-A,"Demonstrate proper book handling skills (orientation, covers, page turning)",Page Turning,Gently turn pages from right to left without tearing or damaging the book
Language Arts,LA001-01-A,"Demonstrate proper book handling skills (orientation, covers, page turning)",Reading Direction,Demonstrate understanding that text is read from left to right and top to bottom
Language Arts,LA001-01-A,"Demonstrate proper book handling skills (orientation, covers, page turning)",Book Care,Explain and demonstrate basic book care techniques like clean hands and careful handling
Language Arts,LA001-01-A,"Demonstrate proper book handling skills (orientation, covers, page turning)",Page Sequence,Recognize and maintain correct page order while reading or looking through a book
Language Arts,LA001-01-A,"Demonstrate proper book handling skills (orientation, covers, page turning),Book Parts,Identify and point to key book elements including title",author,and illustrator on the cover
Language Arts,LA001-01-A,"Demonstrate proper book handling skills (orientation, covers, page turning)",Independent Exploration,Select and handle books independently during reading time with proper technique
Language Arts,LA001-01-B,"Identify key book elements (title, author, illustrator) on covers and title pages",Book Awareness,Point to and name the title of a book when asked
Language Arts,LA001-01-B,"Identify key book elements (title, author, illustrator) on covers and title pages",Author Recognition,Explain that the author is the person who writes the words in a book
Language Arts,LA001-01-B,"Identify key book elements (title, author, illustrator) on covers and title pages",Illustrator Understanding,Describe that the illustrator creates the pictures in a book
Language Arts,LA001-01-B,"Identify key book elements (title, author, illustrator) on covers and title pages,Book Part Identification,Consistently locate and point out the title",author,and illustrator names on a book's cover
Language Arts,LA001-01-B,"Identify key book elements (title, author, illustrator) on covers and title pages,Comparative Skills,Compare different books by identifying their unique titles",authors,and illustrators
Language Arts,LA001-01-B,"Identify key book elements (title, author, illustrator) on covers and title pages,Creative Application,Create a simple book with a clearly labeled title",author name,and hand-drawn illustrations
Language Arts,LA001-01-B,"Identify key book elements (title, author, illustrator) on covers and title pages,Contextual Understanding,Explain the different roles of title",author,and illustrator in creating a complete book
Language Arts,LA001-01-C,"Follow text directionality (left-to-right, top-to-bottom, page-by-page)",Directional Tracking,Demonstrate ability to point to words while reading from left to right using a finger or reading guide
Language Arts,LA001-01-C,"Follow text directionality (left-to-right, top-to-bottom, page-by-page)",Page Navigation,Successfully turn pages of a book in the correct sequence from front to back
Language Arts,LA001-01-C,"Follow text directionality (left-to-right, top-to-bottom, page-by-page)",Line Progression,Accurately move eyes from the end of one line to the beginning of the next line when reading a simple text
Language Arts,LA001-01-C,"Follow text directionality (left-to-right, top-to-bottom, page-by-page)",Reading Orientation,Consistently hold a book in the correct orientation and start reading from the top left of the page
Language Arts,LA001-01-C,"Follow text directionality (left-to-right, top-to-bottom, page-by-page)",Spatial Awareness,Identify and explain the difference between reading direction in English versus other language writing systems
Language Arts,LA001-01-C,"Follow text directionality (left-to-right, top-to-bottom, page-by-page)",Interactive Reading,Demonstrate understanding of text flow by participating in guided reading activities that emphasize directional tracking
Language Arts,LA001-01-D,"Distinguish between letters, words, and spaces in printed text,Visual Discrimination,Point out and identify individual letters",words,and spaces in a printed sentence
Language Arts,LA001-01-D,"Distinguish between letters, words, and spaces in printed text",Spatial Awareness,Use finger spacing to demonstrate understanding of word boundaries when reading simple text
