Subject,SubskillID,SubskillDescription,ConceptGroup,DetailedObjective
Mathematics,COUNT001-01-A,"Count and recognize numbers 0-10, including matching spoken words to written numerals",Number Recognition,Correctly identify and name written numerals 0-10 when shown randomly
Mathematics,COUNT001-01-A,"Count and recognize numbers 0-10, including matching spoken words to written numerals",Number Writing,Write numerals 0-10 when given the spoken number name
Mathematics,COUNT001-01-A,"Count and recognize numbers 0-10, including matching spoken words to written numerals",Counting Skills,Count objects in a line from 1-10 while pointing to each object
Mathematics,COUNT001-01-A,"Count and recognize numbers 0-10, including matching spoken words to written numerals",Number Matching,Connect spoken number words to corresponding written numerals in a matching activity
Mathematics,COUNT001-01-A,"Count and recognize numbers 0-10, including matching spoken words to written numerals",Real-world Application,Identify numbers 0-10 in everyday contexts such as page numbers or classroom labels
Mathematics,COUNT001-01-A,"Count and recognize numbers 0-10, including matching spoken words to written numerals",Sequence Understanding,Arrange number cards 0-10 in correct numerical order
Mathematics,COUNT001-01-A,"Count and recognize numbers 0-10, including matching spoken words to written numerals",Quantity Association,Match a given quantity of objects to its corresponding written numeral 0-10
Mathematics,COUNT001-01-B,"Write numbers 0-10 and their number words, demonstrating one-to-one correspondence with objects",Number Writing,Trace and copy numbers 0-10 using correct formation and direction
Mathematics,COUNT001-01-B,"Write numbers 0-10 and their number words, demonstrating one-to-one correspondence with objects",Number Words,Write number words zero through ten with proper spelling
Mathematics,COUNT001-01-B,"Write numbers 0-10 and their number words, demonstrating one-to-one correspondence with objects",Object Correspondence,Draw lines connecting written numbers to corresponding sets of objects
Mathematics,COUNT001-01-B,"Write numbers 0-10 and their number words, demonstrating one-to-one correspondence with objects",Visual Recognition,Match written number words with their corresponding numerals 0-10
Mathematics,COUNT001-01-B,"Write numbers 0-10 and their number words, demonstrating one-to-one correspondence with objects",Real-World Application,Label groups of classroom objects with both numerals and number words
Mathematics,COUNT001-01-B,"Write numbers 0-10 and their number words, demonstrating one-to-one correspondence with objects",Sequence Understanding,Order number cards showing both numerals and number words from 0-10
Mathematics,COUNT001-01-B,"Write numbers 0-10 and their number words, demonstrating one-to-one correspondence with objects,Integration Skills,Create simple number books showing numerals",number words,and corresponding objects
Mathematics,COUNT001-01-C,"Count, recognize, and write numbers 11-20, with proper sequence and order",Number Recognition,Correctly identify written numerals 11-20 when shown in random order
Mathematics,COUNT001-01-C,"Count, recognize, and write numbers 11-20, with proper sequence and order",Writing Skills,Write numbers 11-20 legibly and in correct orientation without a model
Mathematics,COUNT001-01-C,"Count, recognize, and write numbers 11-20, with proper sequence and order",Sequence Understanding,Arrange number cards 11-20 in proper ascending and descending order
Mathematics,COUNT001-01-C,"Count, recognize, and write numbers 11-20, with proper sequence and order",Counting Skills,Count forward from any given number between 11 and 20
Mathematics,COUNT001-01-C,"Count, recognize, and write numbers 11-20, with proper sequence and order",Object Counting,Match quantities of 11-20 objects with their corresponding written numerals
Mathematics,COUNT001-01-C,"Count, recognize, and write numbers 11-20, with proper sequence and order",Number Relationships,Identify the number that comes before and after any given number 11-20
Mathematics,COUNT001-01-C,"Count, recognize, and write numbers 11-20, with proper sequence and order",Real-world Application,Use numbers 11-20 to label and count everyday objects in the classroom
Mathematics,COUNT001-01-D,"Demonstrate sequential understanding through 20 (before/after, missing numbers, backward counting)",Number Sequence,Identify the number that comes immediately after any given number from 1-20
Mathematics,COUNT001-01-D,"Demonstrate sequential understanding through 20 (before/after, missing numbers, backward counting)",Number Sequence,Identify the number that comes immediately before any given number from 1-20
Mathematics,COUNT001-01-D,"Demonstrate sequential understanding through 20 (before/after, missing numbers, backward counting)",Missing Numbers,Fill in missing numbers in a sequence from 1-20 when given three consecutive numbers
Mathematics,COUNT001-01-D,"Demonstrate sequential understanding through 20 (before/after, missing numbers, backward counting)",Backward Counting,Count backward from 20 to 1 without assistance
