Subject,SubskillID,SubskillDescription,ConceptGroup,DetailedObjective
Science,SCI001-01-A,"Identify and demonstrate basic movements (push, pull, roll, slide) of everyday objects,Movement Identification,Verbally name and point to at least 3 different types of object movements (push, pull",roll,slide)
Science,SCI001-01-A,"Identify and demonstrate basic movements (push, pull, roll, slide) of everyday objects",Physical Demonstration,Physically demonstrate a push or pull motion with classroom toys and manipulatives
Science,SCI001-01-A,"Identify and demonstrate basic movements (push, pull, roll, slide) of everyday objects,Surface Interaction",Predict and explain how different surfaces (smooth,rough) affect an object's rolling or sliding movement
Science,SCI001-01-A,"Identify and demonstrate basic movements (push, pull, roll, slide) of everyday objects,Comparative Movement,Compare and contrast how different objects (ball",block,cylinder) move when pushed or rolled
Science,SCI001-01-A,"Identify and demonstrate basic movements (push, pull, roll, slide) of everyday objects,Directional Awareness,Use directional words (forward",backward,sideways) to describe how an object moves when pushed or pulled
Science,SCI001-01-A,"Identify and demonstrate basic movements (push, pull, roll, slide) of everyday objects",Cause and Effect,Explain how the strength of a push or pull affects an object's distance of movement
Science,SCI001-01-A,"Identify and demonstrate basic movements (push, pull, roll, slide) of everyday objects,Real-World Application",Identify examples of push and pull movements in everyday environments (opening doors,moving chairs)
Science,SCI001-01-B,"Sort objects based on how they move in response to forces (wind, water, pushing)",Physical Movement,Predict and demonstrate how lightweight objects like feathers or paper move when blown by wind
Science,SCI001-01-B,"Sort objects based on how they move in response to forces (wind, water, pushing)",Object Classification,Categorize objects into groups that move easily versus objects that resist movement when pushed
Science,SCI001-01-B,"Sort objects based on how they move in response to forces (wind, water, pushing)",Experimental Observation,Use simple tools like straws or fans to observe and record how different objects respond to directed air movement
Science,SCI001-01-B,"Sort objects based on how they move in response to forces (wind, water, pushing),Water Interaction,Identify and sort objects that float",sink,or move when placed in water based on their physical properties
Science,SCI001-01-B,"Sort objects based on how they move in response to forces (wind, water, pushing)",Force Comparison,Compare and contrast how different objects move when pushed with varying levels of gentle and strong force
Science,SCI001-01-B,"Sort objects based on how they move in response to forces (wind, water, pushing)",Sensory Exploration,Use hands-on activities to explore how objects move differently on smooth versus rough surfaces when pushed
Science,SCI001-01-B,"Sort objects based on how they move in response to forces (wind, water, pushing)",Predictive Thinking,Make simple predictions about how an object will move before actually testing its movement in response to different forces
Science,SCI001-01-C,Explore how strength and direction of pushes and pulls affect object motion,Basic Motion Concepts,Demonstrate the difference between a gentle push and a strong push by predicting and observing how far a toy car moves
Science,SCI001-01-C,Explore how strength and direction of pushes and pulls affect object motion,Directional Understanding,Predict and explain how the direction of a push or pull changes an object's movement path on a flat surface
Science,SCI001-01-C,Explore how strength and direction of pushes and pulls affect object motion,Force Comparison,Compare and contrast how different amounts of force affect the movement of lightweight and heavy objects
Science,SCI001-01-C,Explore how strength and direction of pushes and pulls affect object motion,Practical Application,Use simple tools like ramps and blocks to demonstrate how angle and force influence an object's speed and distance
Science,SCI001-01-C,"Explore how strength and direction of pushes and pulls affect object motion,Hands-on Exploration,Conduct simple experiments with various objects to observe how pushes and pulls create different types of motion (rolling",sliding,stopping)
Science,SCI001-01-C,Explore how strength and direction of pushes and pulls affect object motion,Spatial Reasoning,Describe and demonstrate how the strength of a push or pull changes an object's position and movement
Science,SCI001-01-D,Investigate how different surfaces affect object motion through simple friction experiments,Surface Interaction,Predict and observe how a toy car moves differently on smooth tile versus rough carpet
Science,SCI001-01-D,Investigate how different surfaces affect object motion through simple friction experiments,Experimental Design,Use a consistent ramp and measure how far an object travels on various textured surfaces
Science,SCI001-01-D,Investigate how different surfaces affect object motion through simple friction experiments,Comparative Analysis,Draw and label a simple chart showing which surfaces cause objects to stop faster or slower
Science,SCI001-01-D,"Investigate how different surfaces affect object motion through simple friction experiments,Vocabulary Development,Describe the differences in object movement using basic terms like ""slide""","""stop""","and ""slow down"""
Science,SCI001-01-D,Investigate how different surfaces affect object motion through simple friction experiments,Observation Skills,Use age-appropriate tools like rulers or markers to track and compare object movement distances
Science,SCI001-01-D,Investigate how different surfaces affect object motion through simple friction experiments,Hypothesis Testing,Make a simple prediction about how an object will move before conducting a friction experiment
Science,SCI001-01-D,Investigate how different surfaces affect object motion through simple friction experiments,Real-World Connection,Discuss how friction affects everyday experiences like walking on different playground surfaces
Science,SCI001-01-E,"Compare object behavior in different environments (air vs. water, ramps, barriers)",Object Movement,Predict how different objects move when dropped in air compared to water
Science,SCI001-01-E,"Compare object behavior in different environments (air vs. water, ramps, barriers)",Force Observation,Demonstrate how objects roll differently on flat surfaces versus inclined ramps
Science,SCI001-01-E,"Compare object behavior in different environments (air vs. water, ramps, barriers),Experimental Thinking,Classify objects that float",sink,or move slowly/quickly in different environments
Science,SCI001-01-E,"Compare object behavior in different environments (air vs. water, ramps, barriers)",Physical Interaction,Describe how barriers and obstacles change an object's movement path
Science,SCI001-01-E,"Compare object behavior in different environments (air vs. water, ramps, barriers)",Comparative Analysis,Draw simple diagrams showing how an object moves in air versus water
Science,SCI001-01-E,"Compare object behavior in different environments (air vs. water, ramps, barriers)",Sensory Exploration,Use multiple senses to observe and compare object movements in different settings
Science,SCI001-01-F,"Demonstrate how objects can be moved without direct contact (magnets, air, water)",Magnetic Exploration,Identify and sort objects that are attracted to magnets versus objects that are not
Science,SCI001-01-F,"Demonstrate how objects can be moved without direct contact (magnets, air, water)",Air Movement,Observe and describe how wind can move lightweight objects like leaves and paper
Science,SCI001-01-F,"Demonstrate how objects can be moved without direct contact (magnets, air, water)",Water Interaction,Predict and test how water currents can push and move small objects in a container
Science,SCI001-01-F,"Demonstrate how objects can be moved without direct contact (magnets, air, water)",Magnetic Poles,Explore how opposite poles of magnets attract and same poles repel each other
