Subject,Grade,UnitID,UnitTitle,SkillID,SkillDescription,SubskillID,SubskillDescription,DifficultyStart,DifficultyEnd,TargetDifficulty
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-01,Print Concepts,LA001-01-A,Demonstrate understanding of the organization and basic features of print,1,5,3
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-01,Print Concepts,LA001-01-B,"Follow words from left to right, top to bottom, and page by page",1,4,2
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-01,Print Concepts,LA001-01-C,Recognize that spoken words are represented in written language by specific sequences of letters,3,7,5
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-02,Phonological Awareness,LA001-02-A,Recognize and produce rhyming words,2,6,4
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-02,Phonological Awareness,LA001-02-B,"Count, pronounce, blend, and segment syllables in spoken words",3,7,5
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-02,Phonological Awareness,LA001-02-C,Blend and segment onsets and rimes of single-syllable spoken words,4,8,6
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-03,Phonics and Word Recognition,LA001-03-A,Demonstrate basic knowledge of one-to-one letter-sound correspondences,2,6,4
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-03,Phonics and Word Recognition,LA001-03-B,Associate the long and short sounds with common spellings for the five major vowels,4,8,6
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-03,Phonics and Word Recognition,LA001-03-C,Read common high-frequency words by sight,3,7,5
Language Arts,Kindergarten,LA002,Writing,LA002-01,Text Types and Purposes,LA002-01-A,"Use a combination of drawing, dictating, and writing to compose opinion pieces",3,7,5
Language Arts,Kindergarten,LA002,Writing,LA002-01,Text Types and Purposes,LA002-01-B,"Use a combination of drawing, dictating, and writing to compose informative/explanatory texts",3,7,5
Language Arts,Kindergarten,LA002,Writing,LA002-01,Text Types and Purposes,LA002-01-C,"Use a combination of drawing, dictating, and writing to narrate a single event or several loosely linked events",4,8,6
Language Arts,Kindergarten,LA002,Writing,LA002-02,Production and Distribution of Writing,LA002-02-A,Respond to questions and suggestions from peers to strengthen writing,3,7,5
Language Arts,Kindergarten,LA002,Writing,LA002-02,Production and Distribution of Writing,LA002-02-B,"Explore a variety of digital tools to produce and publish writing, including collaboration with peers",4,8,6
Language Arts,Kindergarten,LA003,Speaking and Listening,LA003-01,Comprehension and Collaboration,LA003-01-A,Participate in collaborative conversations with diverse partners about kindergarten topics and texts,2,6,4
Language Arts,Kindergarten,LA003,Speaking and Listening,LA003-01,Comprehension and Collaboration,LA003-01-B,Confirm understanding of a text read aloud or information presented orally,3,7,5
