Subject,Grade,UnitID,UnitTitle,SkillID,SkillDescription,SubskillID,SubskillDescription,DifficultyStart,DifficultyEnd,TargetDifficulty
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-01,Print Concepts,LA001-01-A,"Demonstrate proper book handling skills (orientation, covers, page turning)",1,3,2
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-01,Print Concepts,LA001-01-B,"Identify key book elements (title, author, illustrator) on covers and title pages",2,4,3
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-01,Print Concepts,LA001-01-C,"Follow text directionality (left-to-right, top-to-bottom, page-by-page)",2,4,3
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-01,Print Concepts,LA001-01-D,"Distinguish between letters, words, and spaces in printed text",2,5,3
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-01,Print Concepts,LA001-01-E,Track text with finger while listening to reading at appropriate pace,3,5,4
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-01,Print Concepts,LA001-01-F,"Identify basic punctuation marks (period, question mark, exclamation point) and their purposes",3,5,4
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-01,Print Concepts,LA001-01-G,Recognize and count words within printed sentences,3,6,4
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-01,Print Concepts,LA001-01-H,"Identify complete sentences, including capital letters and ending punctuation",4,6,5
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-01,Print Concepts,LA001-01-I,Connect spoken words to their written representations in text,4,7,5
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-03,Phonics and Word Recognition,LA001-03-A,Match and identify uppercase and lowercase letters in text,2,4,3
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-03,Phonics and Word Recognition,LA001-03-B,Demonstrate one-to-one letter-sound correspondences for consonants and vowels,2,5,4
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-03,Phonics and Word Recognition,LA001-03-C,Distinguish between long and short vowel sounds in single-syllable words,3,6,5
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-03,Phonics and Word Recognition,LA001-03-D,Blend and segment individual sounds (phonemes) in simple CVC words using manipulatives,3,5,4
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-03,Phonics and Word Recognition,LA001-03-E,Read common high-frequency sight words in isolation and simple text,3,6,5
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-03,Phonics and Word Recognition,LA001-03-F,"Identify and read common consonant digraphs (sh, ch, th, wh) and blends (st, pl, br)",4,6,5
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-03,Phonics and Word Recognition,LA001-03-G,"Read and comprehend words with common endings (-s, -ing, -ed) and compound words",4,7,6
Language Arts,Kindergarten,LA001,Reading Foundations,LA001-03,Phonics and Word Recognition,LA001-03-H,Apply phonics skills to distinguish between similarly spelled words in context,5,7,6
Language Arts,Kindergarten,LA002,Writing,LA002-02,Production and Distribution of Writing,LA002-02-A,Write left to right and top to bottom with consistent spacing between words,1,3,2
Language Arts,Kindergarten,LA002,Writing,LA002-02,Production and Distribution of Writing,LA002-02-B,Draw and label pictures to plan writing ideas before composing text,2,4,3
Language Arts,Kindergarten,LA002,Writing,LA002-02,Production and Distribution of Writing,LA002-02-C,Form complete simple sentences using subject and predicate,3,5,4
Language Arts,Kindergarten,LA002,Writing,LA002-02,Production and Distribution of Writing,LA002-02-D,Use proper capitalization for sentence beginnings and names,3,5,4
Language Arts,Kindergarten,LA002,Writing,LA002-02,Production and Distribution of Writing,LA002-02-E,"Apply appropriate ending punctuation (period, question mark, exclamation point)",4,6,5
Language Arts,Kindergarten,LA002,Writing,LA002-02,Production and Distribution of Writing,LA002-02-F,Enhance writing by adding descriptive words and specific details,4,6,5
Language Arts,Kindergarten,LA002,Writing,LA002-02,Production and Distribution of Writing,LA002-02-G,"Organize stories with clear beginning, middle, and end using basic transition words",5,7,6
Language Arts,Kindergarten,LA002,Writing,LA002-02,Production and Distribution of Writing,LA002-02-H,"Read writing aloud to self and peers, incorporating feedback for improvement",6,8,7
Language Arts,Kindergarten,LA002,Writing,LA002-02,Production and Distribution of Writing,LA002-02-I,"Use digital tools to produce, illustrate, and share writing with peers",6,8,7
Language Arts,Kindergarten,LA002,Writing,LA002-03,Research to Build and Present Knowledge,LA002-03-A,"Identify basic information sources in the classroom (e.g., books, charts, pictures)",1,3,2
Language Arts,Kindergarten,LA002,Writing,LA002-03,Research to Build and Present Knowledge,LA002-03-B,Answer simple yes/no questions using provided picture sources,1,3,2
Language Arts,Kindergarten,LA002,Writing,LA002-03,Research to Build and Present Knowledge,LA002-03-C,Extract one specific fact from a teacher-selected source,2,4,3
Language Arts,Kindergarten,LA002,Writing,LA002-03,Research to Build and Present Knowledge,LA002-03-D,Share personal experiences related to a class topic using 2-3 details,2,4,3
Language Arts,Kindergarten,LA002,Writing,LA002-03,Research to Build and Present Knowledge,LA002-03-E,Match pictures to facts about a research topic with guidance,3,5,4
Language Arts,Kindergarten,LA002,Writing,LA002-03,Research to Build and Present Knowledge,LA002-03-F,Contribute one relevant fact to a group research project,3,5,4
Language Arts,Kindergarten,LA002,Writing,LA002-03,Research to Build and Present Knowledge,LA002-03-G,Create simple labels for pictures about a research topic,4,6,5
Language Arts,Kindergarten,LA002,Writing,LA002-03,Research to Build and Present Knowledge,LA002-03-H,Combine 2-3 facts and pictures to share information about a topic,4,6,5
Language Arts,Kindergarten,LA002,Writing,LA002-04,Conventions of Standard English,LA002-04-A,"Use finger spaces between words consistently when writing, using tools if needed",2,4,3
Language Arts,Kindergarten,LA002,Writing,LA002-04,Conventions of Standard English,LA002-04-B,"Recognize and name end punctuation marks (., ?, !)",1,3,2
