Subject,Grade,UnitID,UnitTitle,SkillID,SkillDescription,SubskillID,SubskillDescription,DifficultyStart,DifficultyEnd,TargetDifficulty
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-01,Know number names and the count sequence,COUNT001-01-A,"Count and recognize numbers 0-10, including matching spoken words to written numerals",1,3,2
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-01,Know number names and the count sequence,COUNT001-01-B,"Write numbers 0-10 and their number words, demonstrating one-to-one correspondence with objects",2,4,3
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-01,Know number names and the count sequence,COUNT001-01-C,"Count, recognize, and write numbers 11-20, with proper sequence and order",3,5,4
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-01,Know number names and the count sequence,COUNT001-01-D,"Demonstrate sequential understanding through 20 (before/after, missing numbers, backward counting)",4,6,5
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-01,Know number names and the count sequence,COUNT001-01-E,Count by 2s and 5s up to 50 using visual aids and concrete objects,5,7,6
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-01,Know number names and the count sequence,COUNT001-01-F,"Count and recognize numbers from 21-100, with emphasis on decade numbers",6,8,7
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-01,Know number names and the count sequence,COUNT001-01-G,Count forward from any given number up to 100 and identify sequence errors,7,9,8
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-02,Count to tell the number of objects,COUNT001-02-A,Count up to 5 objects using one-to-one correspondence with correct touching and tracking,1,3,2
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-02,Count to tell the number of objects,COUNT001-02-B,"Count up to 10 objects in various arrangements (linear, scattered, circular) with consistent accuracy",2,4,3
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-02,Count to tell the number of objects,COUNT001-02-C,Demonstrate counting conservation by counting objects of different sizes and in different arrangements while recognizing total remains unchanged,3,5,4
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-02,Count to tell the number of objects,COUNT001-02-D,"Count up to 20 objects in structured arrangements (lines, arrays) and count out requested quantities",4,6,5
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-02,Count to tell the number of objects,COUNT001-02-E,Compare quantities between groups and count backwards from 10 using concrete objects,5,7,6
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-02,Count to tell the number of objects,COUNT001-02-F,Count objects in groups of 2 up to 20 (skip counting) and track running totals as objects change,6,8,7
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-02,Count to tell the number of objects,COUNT001-02-G,"Count combined visible and hidden objects up to 10, including briefly shown then hidden sets",7,9,8
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-03,Compare numbers,COUNT001-03-A,"Compare two groups of up to 5 objects using one-to-one correspondence and the terms ""more than,"" ""less than,"" and ""equal to""",1,3,2
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-03,Compare numbers,COUNT001-03-B,Compare two groups of 6-10 objects using visual patterns and one-to-one correspondence,2,4,3
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-03,Compare numbers,COUNT001-03-C,Compare two written numerals between 1-10 using number lines and visual representations,3,5,4
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-03,Compare numbers,COUNT001-03-D,Order three or more numbers/groups (up to 10) from least to greatest or greatest to least,4,6,5
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-03,Compare numbers,COUNT001-03-E,"Use inequality symbols (<, >) correctly when comparing numbers up to 10 with justification",5,7,6
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-03,Compare numbers,COUNT001-03-F,"Identify numbers that are ""one more"" or ""one less"" than a given number up to 20",6,8,7
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-03,Compare numbers,COUNT001-03-G,Compare two numbers between 11-20 using place value understanding and visual models,7,9,8
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-04,Understand ordinal numbers,COUNT001-04-A,Recognize and name ordinal positions (first through fifth) in a simple line or sequence,2,4,3
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-04,Understand ordinal numbers,COUNT001-04-B,Match ordinal number words (first through fifth) with their corresponding symbols (1st-5th),3,5,4
Mathematics,Kindergarten,COUNT001,Counting and Cardinality,COUNT001-04,Understand ordinal numbers,COUNT001-04-C,Apply ordinal numbers (first through fifth) to daily routines and story sequences,3,5,4
