Subject,Grade,UnitID,UnitTitle,SkillID,SkillDescription,SubskillID,SubskillDescription,DifficultyStart,DifficultyEnd,TargetDifficulty
Science,Kindergarten,SCI001,Physical Sciences,SCI001-01,Forces and Motion,SCI001-01-A,"Identify and demonstrate basic movements (push, pull, roll, slide) of everyday objects",1,3,2
Science,Kindergarten,SCI001,Physical Sciences,SCI001-01,Forces and Motion,SCI001-01-B,"Sort objects based on how they move in response to forces (wind, water, pushing)",2,4,3
Science,Kindergarten,SCI001,Physical Sciences,SCI001-01,Forces and Motion,SCI001-01-C,Explore how strength and direction of pushes and pulls affect object motion,2,5,3
Science,Kindergarten,SCI001,Physical Sciences,SCI001-01,Forces and Motion,SCI001-01-D,Investigate how different surfaces affect object motion through simple friction experiments,3,5,4
Science,Kindergarten,SCI001,Physical Sciences,SCI001-01,Forces and Motion,SCI001-01-E,"Compare object behavior in different environments (air vs. water, ramps, barriers)",3,6,4
Science,Kindergarten,SCI001,Physical Sciences,SCI001-01,Forces and Motion,SCI001-01-F,"Demonstrate how objects can be moved without direct contact (magnets, air, water)",3,6,4
Science,Kindergarten,SCI001,Physical Sciences,SCI001-01,Forces and Motion,SCI001-01-G,"Experiment with weight distribution and balance using simple tools (seesaws, scales)",4,6,5
Science,Kindergarten,SCI001,Physical Sciences,SCI001-01,Forces and Motion,SCI001-01-H,"Create and explain simple force transfer systems (dominos, pulleys, chain reactions)",4,7,5
Science,Kindergarten,SCI001,Physical Sciences,SCI001-02,Matter and Its Properties,SCI001-02-A,"Sort and classify objects by basic observable properties (color, shape, size, texture)",1,3,2
Science,Kindergarten,SCI001,Physical Sciences,SCI001-02,Matter and Its Properties,SCI001-02-B,"Identify and match common materials (wood, metal, plastic, fabric) in everyday objects",1,4,2
Science,Kindergarten,SCI001,Physical Sciences,SCI001-02,Matter and Its Properties,SCI001-02-C,"Investigate basic material properties (magnetic attraction, floating/sinking, light reflection)",2,4,3
Science,Kindergarten,SCI001,Physical Sciences,SCI001-02,Matter and Its Properties,SCI001-02-D,"Test and compare material characteristics (flexibility, strength, water absorption)",2,5,3
Science,Kindergarten,SCI001,Physical Sciences,SCI001-02,Matter and Its Properties,SCI001-02-E,"Explore light interaction with materials (transparent, translucent, opaque)",2,5,4
Science,Kindergarten,SCI001,Physical Sciences,SCI001-02,Matter and Its Properties,SCI001-02-F,"Recognize and describe the three states of matter (solid, liquid, gas) through observation",3,6,4
Science,Kindergarten,SCI001,Physical Sciences,SCI001-02,Matter and Its Properties,SCI001-02-G,"Demonstrate how materials change with temperature (melting, freezing, softening)",3,6,5
