Subject,SubskillID,SubskillDescription,ConceptGroup,DetailedObjective
Science,SCI001-01-B,Investigate how the speed or direction of an object can be changed by a push or a pull,Basic Concepts,Identify the difference between a push and a pull using everyday examples
Science,SCI001-01-B,Investigate how the speed or direction of an object can be changed by a push or a pull,Basic Concepts,Match pushing or pulling actions to common activities like opening doors or moving toys
Science,SCI001-01-B,Investigate how the speed or direction of an object can be changed by a push or a pull,Observation Skills,Describe how an object's movement changes when pushed or pulled
Science,SCI001-01-B,Investigate how the speed or direction of an object can be changed by a push or a pull,Observation Skills,Predict whether a push or pull will make an object move faster or slower
Science,SCI001-01-B,Investigate how the speed or direction of an object can be changed by a push or a pull,Hands-on Investigation,Roll a ball with different strengths of pushing to observe speed changes
Science,SCI001-01-B,Investigate how the speed or direction of an object can be changed by a push or a pull,Hands-on Investigation,Demonstrate how to change an object's direction using gentle pushes and pulls
Science,SCI001-01-B,Investigate how the speed or direction of an object can be changed by a push or a pull,Real-world Application,Sort playground activities into those that use pushes and those that use pulls
Science,SCI001-01-B,Investigate how the speed or direction of an object can be changed by a push or a pull,Real-world Application,Identify three classroom activities that require pushing or pulling
Science,SCI001-01-B,Investigate how the speed or direction of an object can be changed by a push or a pull,Safety Awareness,Demonstrate safe ways to push and pull objects without hurting others
Science,SCI001-01-B,Investigate how the speed or direction of an object can be changed by a push or a pull,Safety Awareness,List two safety rules for pushing or pulling objects in the classroom
Science,SCI001-01-B,Investigate how the speed or direction of an object can be changed by a push or a pull,Comparative Analysis,Compare the movement of light and heavy objects when pushed with the same force
Science,SCI001-01-B,Investigate how the speed or direction of an object can be changed by a push or a pull,Comparative Analysis,Sort objects by whether they are easier to push or pull
Science,SCI001-01-B,Investigate how the speed or direction of an object can be changed by a push or a pull,Scientific Communication,Use simple words to explain how pushing affects an object's movement
Science,SCI001-01-B,Investigate how the speed or direction of an object can be changed by a push or a pull,Scientific Communication,Draw pictures showing the direction an object moves when pushed or pulled
Science,SCI001-01-B,Investigate how the speed or direction of an object can be changed by a push or a pull,Problem Solving,Find different ways to move an object from one point to another using pushes and pulls
Science,SCI001-01-C,Compare the effects of different strengths or different directions of pushes and pulls on an object,Basic Concepts,Identify the difference between a push and a pull using everyday examples
Science,SCI001-01-C,Compare the effects of different strengths or different directions of pushes and pulls on an object,Basic Concepts,Recognize that objects move in the direction they are pushed or pulled
Science,SCI001-01-C,Compare the effects of different strengths or different directions of pushes and pulls on an object,Observation Skills,Describe how objects move differently when pushed hard versus softly
Science,SCI001-01-C,Compare the effects of different strengths or different directions of pushes and pulls on an object,Observation Skills,Observe and describe how the same object moves when pushed in different directions
Science,SCI001-01-C,Compare the effects of different strengths or different directions of pushes and pulls on an object,Hands-on Investigation,Demonstrate pushing the same object with different strengths and compare results
Science,SCI001-01-C,Compare the effects of different strengths or different directions of pushes and pulls on an object,Hands-on Investigation,Show how pulling a wagon changes its movement in different directions
