Subject,Grade,UnitID,UnitTitle,SkillID,SkillDescription,SubskillID,SubskillDescription,DifficultyStart,DifficultyEnd,TargetDifficulty
Social Studies,Kindergarten,SS001,Civics and Government,SS001-01,Rules and Responsibilities,SS001-01-A,"Follow basic 3-step classroom routines independently (entering, storing belongings, starting assigned task)",1,3,2
Social Studies,Kindergarten,SS001,Civics and Government,SS001-01,Rules and Responsibilities,SS001-01-B,Identify and demonstrate proper care of shared classroom materials and spaces,2,4,3
Social Studies,Kindergarten,SS001,Civics and Government,SS001-01,Rules and Responsibilities,SS001-01-C,"Sort safe and unsafe behaviors using picture scenarios in different settings (home, school, community)",2,5,3
Social Studies,Kindergarten,SS001,Civics and Government,SS001-01,Rules and Responsibilities,SS001-01-D,"Explain the purpose of 3-4 essential rules in different settings (home, school, playground)",2,6,4
Social Studies,Kindergarten,SS001,Civics and Government,SS001-01,Rules and Responsibilities,SS001-01-E,Identify personal responsibilities and their importance at home and school through visual representations,3,6,4
Social Studies,Kindergarten,SS001,Civics and Government,SS001-01,Rules and Responsibilities,SS001-01-F,"Demonstrate respectful communication skills using ""I-messages"" and appropriate group entry strategies",3,6,4
Social Studies,Kindergarten,SS001,Civics and Government,SS001-01,Rules and Responsibilities,SS001-01-G,Recognize authority figures' roles and responsibilities in maintaining community safety and order,3,7,5
Social Studies,Kindergarten,SS001,Civics and Government,SS001-01,Rules and Responsibilities,SS001-01-H,Apply basic conflict resolution strategies through guided role-play and puppet scenarios,4,7,5
Social Studies,Kindergarten,SS001,Civics and Government,SS001-01,Rules and Responsibilities,SS001-01-I,Connect actions to consequences through real-world scenarios and collaborative discussion,4,7,5
Social Studies,Kindergarten,SS001,Civics and Government,SS001-01,Rules and Responsibilities,SS001-01-J,Participate in creating and following simple class agreements through group consensus,4,8,6
Social Studies,Kindergarten,SS001,Civics and Government,SS001-02,Citizenship,SS001-02-A,"Demonstrate basic classroom citizenship behaviors (sharing materials, following routines, listening quietly)",1,3,2
